id,name,vmax,mslp,category,ace,start_time,end_time,start_lat,start_lon
AL012013,ANDREA,55,992,0,1.6,2013-06-05 18:00:00,2013-06-07 12:00:00,25.1,-86.6
AL022013,BARRY,40,1003,0,0.8,2013-06-17 12:00:00,2013-06-20 18:00:00,16.0,-87.0
AL032013,CHANTAL,55,1003,0,2.5,2013-07-07 12:00:00,2013-07-10 12:00:00,9.3,-41.4
AL042013,DORIAN,50,1002,0,2.6,2013-07-23 18:00:00,2013-08-03 12:00:00,12.4,-23.9
AL052013,ERIN,40,1006,0,1.5,2013-08-15 00:00:00,2013-08-18 00:00:00,13.9,-23.3
AL062013,FERNAND,50,1001,0,0.7,2013-08-25 12:00:00,2013-08-26 12:00:00,18.7,-94.2
AL072013,GABRIELLE,55,1003,0,1.8,2013-09-04 18:00:00,2013-09-13 12:00:00,16.2,-65.9
AL082013,EIGHT,30,1008,-1,0.0,2013-09-06 12:00:00,2013-09-07 00:00:00,22.4,-97.4
AL092013,HUMBERTO,80,979,1,8.9,2013-09-08 18:00:00,2013-09-19 06:00:00,13.0,-20.3
AL102013,INGRID,75,983,1,4.9,2013-09-12 18:00:00,2013-09-17 00:00:00,19.7,-93.6
AL112013,JERRY,45,1005,0,1.9,2013-09-29 00:00:00,2013-10-03 12:00:00,24.9,-50.4
AL122013,KAREN,55,998,0,2.3,2013-10-03 06:00:00,2013-10-06 06:00:00,21.5,-86.8
